Regulator Name,Regulator Type,Regulator Subtype,Regulator HGNC Symbol,Regulator Database,Regulator ID,Regulator Compartment,Regulator Compartment ID,Regulated Name,Regulated Type,Regulated Subtype,Regulated HGNC Symbol,Regulated Database,Regulated ID,Regulated Compartment,Regulated Compartment ID,Sign,Connection Type,Mechanism,Site,Cell Line,Cell Type,Tissue Type,Organism,Score,Source,Statements,Paper IDs
TBK1,protein,,,uniprot,Q9UHD2,,,AKT,family,,,be,P31749,,,positive,,,,,,,,,,,PMC4302769
TBK1,protein,,,uniprot,Q9UHD2,,,AKT,family,,,be,P31749,,,negative,,,,,,,,,,,PMC4302769
TBK1,protein,,,uniprot,Q9UHD2,,,CD4,protein,,,uniprot,P01730,,,positive,,,,,,,,,,,PMC4302769
FOXO3,protein,,,uniprot,O43524,,,FOXO3,protein,,,uaz,UAZ03334,,,positive,,,,,,,,,,,PMC4487994
PI,protein,,,be,P42336,,,AKT,family,,,be,P31749,,,negative,,,,,,,,,,,PMC4487994
FASL,protein,,,uniprot,P48023,,,FAS,protein,,,uniprot,P25445,,,positive,,,,,,,,,,,PMC4487994
Bcl2l11,gene,,,uniprot,O43521,,,CD4,protein,,,uniprot,P01730,,,positive,,,,,,,,,,,PMC4487994
PI3K,protein,,,be,P42336,,,PIP3,simple-chemical,,,hmdb,HMDB10147,,,positive,,,,,,,,,,,PMC4487994
PI3,protein,,,be,P42336,,,PIP3,simple-chemical,,,hmdb,HMDB10147,,,positive,,,,,,,,,,,PMC4487994
SHIP,protein,,,uniprot,Q92835,,,PI,protein,,,be,P42336,,,positive,,,,,,,,,,,PMC4487994
SHIP1,protein,,,uniprot,Q92835,,,AKT,family,,,be,P31749,,,negative,,,,,,,,,,,PMC4487994
SHIP1,protein,,,uniprot,Q92835,,,AKT,family,,,be,P31749,,,negative,,,,,,,,,,,PMC4487994
BAM32,protein,,,uniprot,Q9UN19,,,PAK1,protein,,,uniprot,Q13153,,,positive,,,,,,,,,,,PMC4487994
mTORC1,protein,,,be,Q8N122,,,PAK1,protein,,,uniprot,Q13153,,,positive,,,,,,,,,,,PMC4487994
siPAK1,protein,,,uaz,UAZ03324,,,PAK1,protein,,,uniprot,Q13153,,,negative,,,,,,,,,,,PMC4487994
SHIP1,protein,,,uniprot,Q92835,,,AKT,family,,,be,P31749,,,negative,,,,,,,,,,,PMC4487994
mTOR,protein,,,uniprot,P42345,,,AKT,family,,,be,P31749,,,positive,,,,,,,,,,,PMC4487994
mTOR,protein,,,uniprot,P42345,,,Pak1,protein,,,uniprot,Q13153,,,negative,,,,,,,,,,,PMC4487994
mTOR,protein,,,uniprot,P42345,,,PAK1,protein,,,uniprot,Q13153,,,positive,,,,,,,,,,,PMC4487994
PI3K,protein,,,be,P42336,,,PAK1,protein,,,uniprot,Q13153,,,negative,,,,,,,,,,,PMC4487994
ERK,family,,,be,P29323,,,PAK1,protein,,,uniprot,Q13153,,,positive,,,,,,,,,,,PMC4487994
BIM,protein,,,uniprot,O43521,,,PAK1,protein,,,uniprot,Q13153,,,positive,,,,,,,,,,,PMC4487994
PDK1,protein,,,uniprot,Q15118,,,Akt,family,,,be,P31749,,,positive,,,,,,,,,,,PMC4550078
CTLA4,protein,,,uniprot,P16410,,,Akt,family,,,be,P31749,,,negative,,,,,,,,,,,PMC4550078
PD1,protein,,,uniprot,P18621,,,Akt,family,,,be,P31749,,,negative,,,,,,,,,,,PMC4550078
IFNgamma,protein,,,uniprot,P01579,,,Akt,family,,,be,P31749,,,positive,,,,,,,,,,,PMC4550078
TIL,protein,,,uniprot,Q15399,,,Akt,family,,,be,P31749,,,negative,,,,,,,,,,,PMC4550078
PI3K,protein,,,be,P42336,,,Akt,family,,,be,P31749,,,positive,,,,,,,,,,,PMC4496363
PI3K,protein,,,be,P42336,,,PTEN,protein,,,uniprot,P60484,,,negative,,,,,,,,,,,PMC4496363
CK2,protein,,,be,CK2,,,PTEN,protein,,,uniprot,P60484,,,negative,,,,,,,,,,,PMC4496363
PI3K,protein,,,be,P42336,,,Akt,family,,,be,P31749,,,positive,,,,,,,,,,,PMC4496363
PI3K,protein,,,be,P42336,,,Akt,family,,,be,P31749,,,positive,,,,,,,,,,,PMC4496363
Akt,family,,,be,P31749,,,FoxO3,protein,,,uniprot,O43524,,,negative,,,,,,,,,,,PMC4496363
TCR,protein,,,,P04235,,,NEDD4,protein,,,,P46934,,,positive,,,,,,,,,,,PMC4418530
Foxo1,protein,,,,Q12778,,,PTEN,protein,,,,P60484,,,positive,,,,,,,,,,,PMC4418530
MEK1,protein,,,,Q02750,,,PTEN,protein,,,,P60485,,,positive,,,,,,,,,,,PMC4418530
CK2,protein,,,,Q53GL0,,,PTEN,protein,,,,P60486,,,negative,,,,,,,,,,,PMC4418530
NEDD4,protein,,,,P46934,,,PTEN,protein,,,,P60487,,,negative,,,,,,,,,,,PMC4418530
PIP3,protein,,,,HMDB10147,,,AKT,protein,,,,P31749,,,positive,,,,,,,,,,,PMC4418530
MTORC2,Complex,,,,Q6R327,,,AKT,protein,,,,P31750,,,positive,,,,,,,,,,,PMC4418530
TCR,protein,,,,P01850,,,MTORC2,Complex,,,,Q6R327,,,positive,,,,,,,,,,,PMC4418530
AKT,protein,,,,P31749,,,MTORC2,Complex,,,,Q6R327,,,negative,,,,,,,,,,,PMC4418530
TCR,protein,,,,P01850,,,PIP3,protein,,,,HMDB10147,,,positive,,,,,,,,,,,PMC4418530
PTEN,protein,,,,P60484,,,PIP3,protein,,,,HMDB10148,,,negative,,,,,,,,,,,PMC4418530
TCR,protein,,,,P01850,,,MEK1,protein,,,,Q02750,,,positive,,,,,,,,,,,PMC4418530
TCR,protein,,,,P01850,,,CK2,protein,,,,Q53GL0,,,positive,,,,,,,,,,,PMC4418530
MTORC2,Complex,,,,Q6R328,,,MTORC2,Complex,,,,Q6R327,,,positive,,,,,,,,,,,PMC4418530
CD28,protein,,,,P10747,,,MTORC2,Complex,,,,Q6R328,,,positive,,,,,,,,,,,PMC4418530
IL2_EX,protein,,,,P60568,,,MTORC2,Complex,,,,Q6R329,,,positive,,,,,,,,,,,PMC4418530
IL2_R,protein,,,,P01589,,,MTORC2,Complex,,,,Q6R330,,,positive,,,,,,,,,,,PMC4418530
PI3K,protein,,,,P42336,,,PIP3,protein,,,,HMDB10147,,,positive,,,,,,,,,,,PMC4418530
