regulator_name,regulator_id,database1,ID1,location1,element_type1,cell_type1,level1,regulated_name,regulated_id,database2,ID2,location2,element_type2,cell_type2,level2,interaction,score,kindscore,matchlevel,epistemicvalue,file_numbers,number,Regulator Variable Name,Regulated Variable Name,PaperID,,
ERK,be_ERK,be,ERK,,family,,,BNZ1,uaz_UAZ04010,uaz,UAZ04010,,protein,,,decreases,,,,,,,,,PMC6478569,BNZ-1 incompletely blocked Akt and ERK,negative-activation
BNZ1,uaz_UAZ04010,uaz,UAZ04010,,protein,,,annexin_V,uniprot_P08758,uniprot,P08758,,protein,,,increases,,,,,,,,,PMC6478569,positive-activation,
apoptosis,go_GO:0006915,go,GO:0006915,,bioprocess,,,BNZ1,uaz_UAZ04010,uaz,UAZ04010,,protein,,,increases,,,,,,,,,PMC6478569,positive-activation,
apoptosis,go_GO:0006915,go,GO:0006915,,bioprocess,,,BNZ1,uaz_UAZ04010,uaz,UAZ04010,,protein,,,increases,,,,,,,,,PMC6478569,positive-activation,
BNZ1,uaz_UAZ04010,uaz,UAZ04010,,protein,,,apoptosis,go_GO:0006915,go,GO:0006915,,bioprocess,,,increases,,,,,,,,,PMC6478569,positive-activation,
IL15,uniprot_P40933,uniprot,P40933,,protein,,,NKL,uniprot_Q9BZE0,uniprot,Q9BZE0,,protein,,,increases,,,,,,,,,PMC6478569,positive-activation,
proliferation,go_GO:0008283,go,GO:0008283,,bioprocess,,,BNZ1,uaz_UAZ04010,uaz,UAZ04010,,protein,,,decreases,,,,,,,,,PMC6478569,BNZ-1 inhibited proliferation,negative-activation
IL15,uniprot_P40933,uniprot,P40933,,protein,,,proliferation,go_GO:0008283,go,GO:0008283,,bioprocess,,,increases,,,,,,,,,PMC6478569,positive-activation,
proliferation,go_GO:0008283,go,GO:0008283,,bioprocess,,,BNZ1,uaz_UAZ04010,uaz,UAZ04010,,protein,,,decreases,,,,,,,,,PMC6478569,BNZ-1 at 10 μM inhibited this ex vivo proliferation,negative-activation
CD4,uniprot_P01730,uniprot,P01730,,protein,,,BNZ1,uaz_UAZ04010,uaz,UAZ04010,,protein,,,decreases,,,,,,,,,PMC6478569,BNZ-1 significantly decreased percentages and total numbers of CD3 + CD4,negative-activation
CD25,uniprot_P01589,uniprot,P01589,,protein,,,BNZ1,uaz_UAZ04010,uaz,UAZ04010,,protein,,,decreases,,,,,,,,,PMC6478569,BNZ-1 significantly decreased percentages and total numbers of CD3 + CD4 + CD25,negative-activation
IL15,uniprot_P40933,uniprot,P40933,,protein,,,BNZ1,uaz_UAZ04010,uaz,UAZ04010,,protein,,,decreases,,,,,,,,,PMC6478569,BNZ-1 effectively inhibited the in vivo proliferation of CD8+ T cells in an IL-15,negative-activation
IL15,uniprot_P40933,uniprot,P40933,,protein,,,cell_viability,mesh_D002470,mesh,D002470,,bioprocess,,,increases,,,,,,,,,PMC6478569,positive-activation,
BNZ1,uaz_UAZ04010,uaz,UAZ04010,,protein,,,apoptosis,go_GO:0006915,go,GO:0006915,,bioprocess,,,increases,,,,,,,,,PMC6478569,positive-activation,
IL15,uniprot_P40933,uniprot,P40933,,protein,,,proliferation,go_GO:0008283,go,GO:0008283,,bioprocess,,,increases,,,,,,,,,PMC6478569,positive-activation,
IL3,uniprot_P08700,uniprot,P08700,,protein,,,proliferation,go_GO:0008283,go,GO:0008283,,bioprocess,,,decreases,,,,,,,,,PMC6478569,IL-3 mediated proliferation,negative-activation
IL2,uniprot_P60568,uniprot,P60568,,protein,,,BNZ1,uaz_UAZ04010,uaz,UAZ04010,,protein,,,decreases,,,,,,,,,PMC6478569,BNZ-1 reduced the ability of both IL-2,negative-activation
IL15,uniprot_P40933,uniprot,P40933,,protein,,,BNZ1,uaz_UAZ04010,uaz,UAZ04010,,protein,,,decreases,,,,,,,,,PMC6478569,BNZ-1 reduced the ability of both IL-2 and IL-15,negative-activation
apoptosis,go_GO:0006915,go,GO:0006915,,bioprocess,,,BNZ1,uaz_UAZ04010,uaz,UAZ04010,,protein,,,increases,,,,,,,,,PMC6478569,positive-activation,
transcription,go_GO:0006351,go,GO:0006351,,bioprocess,,,STAT,uniprot_P35610,uniprot,P35610,,protein,,,increases,,,,,,,,,PMC5891179,positive-activation,
STAT,uniprot_P35610,uniprot,P35610,,protein,,,coil,uniprot_P38432,uniprot,P38432,,protein,,,increases,,,,,,,,,PMC5891179,positive-activation,
metastasis,mesh_D009362,mesh,D009362,,bioprocess,,,STAT3,uniprot_P40763,uniprot,P40763,,protein,,,increases,,,,,,,,,PMC5891179,positive-activation,
STAT3,uniprot_P40763,uniprot,P40763,,protein,,,IL,pubchem_7019083,pubchem,7019083,,simple-chemical,,,increases,,,,,,,,,PMC5891179,positive-activation,
STAT3,uniprot_P40763,uniprot,P40763,,protein,,,VEGF,uniprot_P15692,uniprot,P15692,,protein,,,increases,,,,,,,,,PMC5891179,positive-activation,
IL15,uniprot_P40933,uniprot,P40933,,protein,,,antigen,uaz_UA-BP-GGP-00007,uaz,UA-BP-GGP-00007,,protein,,,increases,,,,,,,,,PMC3213185,positive-activation,
PDGF,be_PDGF,be,PDGF,,family,,,antigen,uaz_UA-BP-GGP-00007,uaz,UA-BP-GGP-00007,,protein,,,increases,,,,,,,,,PMC3213185,positive-activation,
cell_proliferation,go_GO:0008283,go,GO:0008283,,bioprocess,,,mitogenactivated_protein_kinase,be_MAPK,be,MAPK,,family,,,increases,,,,,,,,,PMC3213185,positive-activation,
IFNG,uniprot_P01579,uniprot,P01579,,protein,,,SMAD,be_SMAD,be,SMAD,,family,,,decreases,,,,,,,,,PMC3213185,IFNG is also inhibited by the node SMAD,negative-activation
cell_death,go_GO:0008219,go,GO:0008219,,bioprocess,,,STAT3,uniprot_P40763,uniprot,P40763,,protein,,,decreases,,,,,,,,,PMC3213185,STAT3 or over-expression of Ceramide in deregulated CTLs restores their activation induced cell death,negative-activation
cell_death,go_GO:0008219,go,GO:0008219,,bioprocess,,,Ceramide,pubchem_5283563,pubchem,5283563,,simple-chemical,,,decreases,,,,,,,,,PMC3213185,Ceramide in deregulated CTLs restores their activation induced cell death,negative-activation
STAT3,uniprot_P40763,uniprot,P40763,,protein,,,apoptosis,go_GO:0006915,go,GO:0006915,,bioprocess,,,increases,,,,,,,,,PMC3213185,positive-activation,
apoptosis,go_GO:0006915,go,GO:0006915,,bioprocess,,,STAT3,uniprot_P40763,uniprot,P40763,,protein,,,increases,,,,,,,,,PMC3213185,positive-activation,
MCL1,uniprot_Q07820,uniprot,Q07820,,protein,,,STAT3,uniprot_P40763,uniprot,P40763,,protein,,,increases,,,,,,,,,PMC3213185,positive-activation,
Fas,uniprot_P25445,uniprot,P25445,,protein,,,apoptosis,go_GO:0006915,go,GO:0006915,,bioprocess,,,increases,,,,,,,,,PMC3213185,positive-activation,
apoptosis,go_GO:0006915,go,GO:0006915,,bioprocess,,,SPHK1,uniprot_Q9NYA1,uniprot,Q9NYA1,,protein,,,decreases,,,,,,,,,PMC3213185,SPHK1 inhibition by using chemical inhibitors significantly induces apoptosis,negative-activation
apoptosis,go_GO:0006915,go,GO:0006915,,bioprocess,,,RAS,pfam_PF00071,pfam,PF00071,,family,,,decreases,,,,,,,,,PMC3213185,"RAS through introducing a dominant negative form of RAS, or inhibition of MEK or ERK through chemical inhibitors, induces apoptosis",negative-activation
apoptosis,go_GO:0006915,go,GO:0006915,,bioprocess,,,JAK,uaz_UA-BP-GGP-00072,uaz,UA-BP-GGP-00072,,protein,,,decreases,,,,,,,,,PMC3213185,"JAK  XREF_BIBR , PI3K  XREF_BIBR  or NFκB  XREF_BIBR  through chemical inhibitors induces apoptosis",negative-activation
apoptosis,go_GO:0006915,go,GO:0006915,,bioprocess,,,PI3K,be_PI3K,be,PI3K,,protein,,,decreases,,,,,,,,,PMC3213185,PI3K  XREF_BIBR  or NFκB  XREF_BIBR  through chemical inhibitors induces apoptosis,negative-activation
apoptosis,go_GO:0006915,go,GO:0006915,,bioprocess,,,IL2RBT,uaz_UAZ03887,uaz,UAZ03887,,protein,,,decreases,,,,,,,,,PMC3213185,"IL2RBT, or IL2RB knockout can lead to apoptosis",negative-activation
apoptosis,go_GO:0006915,go,GO:0006915,,bioprocess,,,MEK,be_MEK,be,MEK,,family,,,decreases,,,,,,,,,PMC3213185,"MEK, ERK, IL2RBT, or IL2RB knockout can lead to apoptosis",negative-activation
apoptosis,go_GO:0006915,go,GO:0006915,,bioprocess,,,ERK,be_ERK,be,ERK,,family,,,decreases,,,,,,,,,PMC3213185,"ERK, IL2RBT, or IL2RB knockout can lead to apoptosis",negative-activation
apoptosis,go_GO:0006915,go,GO:0006915,,bioprocess,,,IL2RB,uniprot_P14784,uniprot,P14784,,protein,,,decreases,,,,,,,,,PMC3213185,IL2RB knockout can lead to apoptosis,negative-activation
apoptosis,go_GO:0006915,go,GO:0006915,,bioprocess,,,RAS,pfam_PF00071,pfam,PF00071,,family,,,decreases,,,,,,,,,PMC3213185,"RAS, MEK, ERK, IL2RBT, or IL2RB knockout can lead to apoptosis",negative-activation
TCR,uniprot_P04234,uniprot,P04234,,protein,,,CTLA4,uniprot_P16410,uniprot,P16410,,protein,,,decreases,,,,,,,,,PMC3213185,inhibition of TCR by CTLA4,negative-activation
STAT3,uniprot_P40763,uniprot,P40763,,protein,,,transcription,go_GO:0006351,go,GO:0006351,,bioprocess,,,increases,,,,,,,,,PMC7193483,positive-activation,
STAT3,uniprot_P40763,uniprot,P40763,,protein,,,transcription,go_GO:0006351,go,GO:0006351,,bioprocess,,,increases,,,,,,,,,PMC7193483,positive-activation,
CD8,be_CD8,be,CD8,,family,,,miR146b_promoter,uaz_UAZ04685,uaz,UAZ04685,,protein,,,decreases,,,,,,,,,PMC7193483,miR-146b promoter methylation prevents miR-146b expression in CD8,negative-activation
FasL,uniprot_P48023,uniprot,P48023,,protein,,,HuR,uniprot_Q15717,uniprot,Q15717,,protein,,,increases,,,,,,,,,PMC7193483,positive-activation,
transcription,go_GO:0006351,go,GO:0006351,,bioprocess,,,STAT,uniprot_P35610,uniprot,P35610,,protein,,,increases,,,,,,,,,PMC7040228,positive-activation,
apoptosis,go_GO:0006915,go,GO:0006915,,bioprocess,,,STAT3,uniprot_P40763,uniprot,P40763,,protein,,,decreases,,,,,,,,,PMC7040228,STAT3 was observed to restore LGL apoptosis,negative-activation
DSBs,uaz_UAZ04821,uaz,UAZ04821,,protein,,,p53,uniprot_P04637,uniprot,P04637,,protein,,,increases,,,,,,,,,PMC5814445,positive-activation,
p53,uniprot_P04637,uniprot,P04637,,protein,,,cell_death,go_GO:0008219,go,GO:0008219,,bioprocess,,,increases,,,,,,,,,PMC5814445,positive-activation,
Fig,uniprot_Q9HD26,uniprot,Q9HD26,,protein,,,TCL1,uniprot_O95988,uniprot,O95988,,protein,,,increases,,,,,,,,,PMC5814445,positive-activation,
MTCP1,uniprot_P56277,uniprot,P56277,,protein,,,TCL1,uniprot_O95988,uniprot,O95988,,protein,,,increases,,,,,,,,,PMC5814445,positive-activation,
TCL1B,uniprot_O95988,uniprot,O95988,,protein,,,TCL1,uniprot_O95988,uniprot,O95988,,protein,,,increases,,,,,,,,,PMC5814445,positive-activation,
ROS,chebi_CHEBI:26523,chebi,CHEBI:26523,,simple-chemical,,,TCL1A,uniprot_P56279,uniprot,P56279,,protein,,,increases,,,,,,,,,PMC5814445,positive-activation,
apoptosis,go_GO:0006915,go,GO:0006915,,bioprocess,,,Panobinostat,pubchem_6918837,pubchem,6918837,,simple-chemical,,,increases,,,,,,,,,PMC5814445,positive-activation,
apoptosis,go_GO:0006915,go,GO:0006915,,bioprocess,,,Idasanutlin,uaz_UAZ04780,uaz,UAZ04780,,protein,,,increases,,,,,,,,,PMC5814445,positive-activation,
DDR,pfam_PF08841,pfam,PF08841,,family,,,p53,uniprot_P04637,uniprot,P04637,,protein,,,increases,,,,,,,,,PMC5814445,positive-activation,
DDR,pfam_PF08841,pfam,PF08841,,family,,,ATM,uniprot_Q13315,uniprot,Q13315,,protein,,,increases,,,,,,,,,PMC5814445,positive-activation,
histones,be_Histone,be,Histone,,family,,,DAC,uniprot_P22760,uniprot,P22760,,protein,,,decreases,,,,,,,,,PMC5814445,DAC inhibition of histones,negative-activation
IL4,uniprot_P05112,uniprot,P05112,,protein,,,PTCLs,uaz_UAZ05036,uaz,UAZ05036,,protein,,,increases,,,,,,,,,PMC4854725,positive-activation,
PTCL,uaz_UAZ04906,uaz,UAZ04906,,protein,,,Spn,uniprot_O75398,uniprot,O75398,,protein,,,increases,,,,,,,,,PMC4854725,positive-activation,
TCR,uniprot_P04234,uniprot,P04234,,protein,,,proliferation,go_GO:0008283,go,GO:0008283,,bioprocess,,,increases,,,,,,,,,PMC4854725,positive-activation,
cell_proliferation,go_GO:0008283,go,GO:0008283,,bioprocess,,,TCR,uniprot_P04234,uniprot,P04234,,protein,,,increases,,,,,,,,,PMC4854725,positive-activation,
TCR,uniprot_P04234,uniprot,P04234,,protein,,,calcineurin_inhibitor,uniprot_Q9Y6J0,uniprot,Q9Y6J0,,protein,,,increases,,,,,,,,,PMC4854725,positive-activation,
CD1d,uniprot_P15813,uniprot,P15813,,protein,,,TCR,uniprot_P04234,uniprot,P04234,,protein,,,increases,,,,,,,,,PMC4854725,positive-activation,
cell_expansion,go_GO:0016049,go,GO:0016049,,bioprocess,,,transcription,go_GO:0006351,go,GO:0006351,,bioprocess,,,increases,,,,,,,,,PMC4854725,positive-activation,
differentiation,go_GO:0030154,go,GO:0030154,,bioprocess,,,transcription,go_GO:0006351,go,GO:0006351,,bioprocess,,,increases,,,,,,,,,PMC4854725,positive-activation,
TCR,uniprot_P04234,uniprot,P04234,,protein,,,antigen,uaz_UA-BP-GGP-00007,uaz,UA-BP-GGP-00007,,protein,,,increases,,,,,,,,,PMC4854725,positive-activation,
TCR,uniprot_P04234,uniprot,P04234,,protein,,,ITKSYK,uaz_UAZ05066,uaz,UAZ05066,,protein,,,increases,,,,,,,,,PMC4854725,positive-activation,
transport,go_GO:0006810,go,GO:0006810,,bioprocess,,,Akt1,uniprot_P31749,uniprot,P31749,,protein,,,increases,,,,,,,,,PMC5732835,positive-activation,
cell_proliferation,go_GO:0008283,go,GO:0008283,,bioprocess,,,NBS1,uniprot_O60934,uniprot,O60934,,protein,,,increases,,,,,,,,,PMC5732835,positive-activation,
CD26,uniprot_P27487,uniprot,P27487,,protein,,,CD7,uniprot_P09564,uniprot,P09564,,protein,,,decreases,,,,,,,,,PMC5732835,is aberrant loss of CD7 and CD26,negative-activation
CD26,uniprot_P27487,uniprot,P27487,,protein,,,CD26,uniprot_P27487,uniprot,P27487,,protein,,,decreases,,,,,,,,,PMC5732835,is aberrant loss of CD7 and CD26,negative-activation
CD7,uniprot_P09564,uniprot,P09564,,protein,,,CD7,uniprot_P09564,uniprot,P09564,,protein,,,decreases,,,,,,,,,PMC5732835,is aberrant loss of CD7,negative-activation
CD7,uniprot_P09564,uniprot,P09564,,protein,,,CD26,uniprot_P27487,uniprot,P27487,,protein,,,decreases,,,,,,,,,PMC5732835,is aberrant loss of CD7 and CD26,negative-activation
apoptosis,go_GO:0006915,go,GO:0006915,,bioprocess,,,MK2206,uaz_UAZ03543,uaz,UAZ03543,,protein,,,decreases,,,,,,,,,PMC5732835,MK-2206 was able to induce dose-dependent apoptosis,negative-activation
apoptosis,go_GO:0006915,go,GO:0006915,,bioprocess,,,AKT_inhibitor,uaz_UAZ00178,uaz,UAZ00178,,simple-chemical,,,decreases,,,,,,,,,PMC5732835,"AKT inhibitor, MK-2206 was able to induce dose-dependent apoptosis",negative-activation
apoptosis,go_GO:0006915,go,GO:0006915,,bioprocess,,,cell_growth,go_GO:0016049,go,GO:0016049,,bioprocess,,,decreases,,,,,,,,,PMC5732835,"cell growth, increased apoptosis",negative-activation
MEC04,uaz_UAZ04947,uaz,UAZ04947,,protein,,,"CP690,550",uaz_UAZ04929,uaz,UAZ04929,,protein,,,decreases,,,,,,,,,PMC5732835,"CP-690,550 was tested in a human NKCL xenograft mouse model, and deactivate the dissemination of MEC04",negative-activation
Abs,uniprot_Q9UJV9,uniprot,Q9UJV9,,protein,,,antigen,uaz_UA-BP-GGP-00007,uaz,UA-BP-GGP-00007,,protein,,,increases,,,,,,,,,PMC4616464,positive-activation,
sensor,pfam_PF13796,pfam,PF13796,,family,,,exocytosis,go_GO:0006887,go,GO:0006887,,bioprocess,,,increases,,,,,,,,,PMC5419584,positive-activation,
cAMP,uniprot_P49913,uniprot,P49913,,protein,,,exocytosis,go_GO:0006887,go,GO:0006887,,bioprocess,,,increases,,,,,,,,,PMC5419584,positive-activation,
exocytosis,go_GO:0006887,go,GO:0006887,,bioprocess,,,calcium,pubchem_5460341,pubchem,5460341,,simple-chemical,,,increases,,,,,,,,,PMC5419584,positive-activation,
AKT,be_AKT,be,AKT,,family,,,MAPK,be_ERK,be,ERK,,family,,,increases,,,,,,,,,PMC5419584,positive-activation,
AKT,be_AKT,be,AKT,,family,,,MAPK,be_ERK,be,ERK,,family,,,increases,,,,,,,,,PMC5419584,positive-activation,
CAR,uniprot_P36575,uniprot,P36575,,protein,,,CD19,uniprot_P15391,uniprot,P15391,,protein,,,increases,,,,,,,,,PMC6936092,positive-activation,
CAR,uniprot_P36575,uniprot,P36575,,protein,,,CAR,uniprot_P36575,uniprot,P36575,,protein,,,increases,,,,,,,,,PMC6936092,positive-activation,
cytokine_production,go_GO:0001816,go,GO:0001816,,bioprocess,,,CD30,uniprot_P28908,uniprot,P28908,,protein,,,increases,,,,,,,,,PMC6936092,positive-activation,
proliferation,go_GO:0008283,go,GO:0008283,,bioprocess,,,CD30,uniprot_P28908,uniprot,P28908,,protein,,,increases,,,,,,,,,PMC6936092,positive-activation,
CD30,uniprot_P28908,uniprot,P28908,,protein,,,CAR,uniprot_P36575,uniprot,P36575,,protein,,,increases,,,,,,,,,PMC6936092,positive-activation,
TCR,uniprot_P04234,uniprot,P04234,,protein,,,TRAC,uniprot_P01848,uniprot,P01848,,protein,,,increases,,,,,,,,,PMC6936092,positive-activation,
CD3,be_CD3,be,CD3,,protein,,,TRAC,uniprot_P01848,uniprot,P01848,,protein,,,increases,,,,,,,,,PMC6936092,positive-activation,
danger,uniprot_Q8IWB1,uniprot,Q8IWB1,,protein,,,heat,pfam_PF02985,pfam,PF02985,,family,,,increases,,,,,,,,,PMC6936092,positive-activation,
cell_death,go_GO:0008219,go,GO:0008219,,bioprocess,,,CAR,uniprot_P36575,uniprot,P36575,,protein,,,increases,,,,,,,,,PMC6936092,positive-activation,
cell_death,go_GO:0008219,go,GO:0008219,,bioprocess,,,CAR,uniprot_P36575,uniprot,P36575,,protein,,,increases,,,,,,,,,PMC6936092,positive-activation,
CD20,uniprot_P11836,uniprot,P11836,,protein,,,rituximab,uaz_UAZ01285,uaz,UAZ01285,,protein,,,decreases,,,,,,,,,PMC6936092,rituximab can eliminate CD20,negative-activation
JAK2,uniprot_O60674,uniprot,O60674,,protein,,,STAT3,uniprot_P40763,uniprot,P40763,,protein,,,decreases,,,,,,,,,PMC7016966,STAT3 negatively regulates JAK2,negative-activation
MPN,uniprot_Q9BQR3,uniprot,Q9BQR3,,protein,,,STAT3,uniprot_P40763,uniprot,P40763,,protein,,,decreases,,,,,,,,,PMC7016966,STAT3 negatively regulates JAK2 V617F -driven MPN,negative-activation
STAT3,uniprot_P40763,uniprot,P40763,,protein,,,KIT,uniprot_P10721,uniprot,P10721,,protein,,,increases,,,,,,,,,PMC7016966,positive-activation,
STAT5,be_STAT5,be,STAT5,,family,,,KIT,uniprot_P10721,uniprot,P10721,,protein,,,increases,,,,,,,,,PMC7016966,positive-activation,
STAT1,uniprot_P42224,uniprot,P42224,,protein,,,KIT,uniprot_P10721,uniprot,P10721,,protein,,,increases,,,,,,,,,PMC7016966,positive-activation,
proliferation,go_GO:0008283,go,GO:0008283,,bioprocess,,,KIT,uniprot_P10721,uniprot,P10721,,protein,,,increases,,,,,,,,,PMC7016966,positive-activation,
proliferation,go_GO:0008283,go,GO:0008283,,bioprocess,,,FLT3,uniprot_P36888,uniprot,P36888,,protein,,,increases,,,,,,,,,PMC7016966,positive-activation,
proliferation,go_GO:0008283,go,GO:0008283,,bioprocess,,,KIT_receptors,uaz_UAZ05201,uaz,UAZ05201,,protein,,,increases,,,,,,,,,PMC7016966,positive-activation,
autophagy,go_GO:0006914,go,GO:0006914,,bioprocess,,,KIT,uniprot_P10721,uniprot,P10721,,protein,,,increases,,,,,,,,,PMC7016966,positive-activation,
autophagy,go_GO:0006914,go,GO:0006914,,bioprocess,,,STAT3,uniprot_P40763,uniprot,P40763,,protein,,,increases,,,,,,,,,PMC7016966,positive-activation,
immune_response,go_GO:0006955,go,GO:0006955,,bioprocess,,,STAT3,uniprot_P40763,uniprot,P40763,,protein,,,decreases,,,,,,,,,PMC7016966,STAT3 also stimulates the antitumoral immune response,negative-activation
AML,uniprot_Q6PF39,uniprot,Q6PF39,,protein,,,STAT3,uniprot_P40763,uniprot,P40763,,protein,,,decreases,,,,,,,,,PMC7016966,STAT3 would not only block the growth and survival of AML,negative-activation
STAT5,be_STAT5,be,STAT5,,family,,,FLT3ITD,uaz_UAZ05211,uaz,UAZ05211,,protein,,,increases,,,,,,,,,PMC7016966,positive-activation,
cell_survival,mesh_D002470,mesh,D002470,,bioprocess,,,STAT5,be_STAT5,be,STAT5,,family,,,increases,,,,,,,,,PMC7016966,positive-activation,
STAT5,be_STAT5,be,STAT5,,family,,,ROS,chebi_CHEBI:26523,chebi,CHEBI:26523,,simple-chemical,,,increases,,,,,,,,,PMC7016966,positive-activation,
cell_growth,go_GO:0016049,go,GO:0016049,,bioprocess,,,STAT5,be_STAT5,be,STAT5,,family,,,decreases,,,,,,,,,PMC7016966,STAT5 suppresses human Ph+ ALL cell growth,negative-activation
STAT5B,uniprot_P51692,uniprot,P51692,,protein,,,acid,pubchem_444212,pubchem,444212,,simple-chemical,,,increases,,,,,,,,,PMC7016966,positive-activation,
cell_growth,go_GO:0016049,go,GO:0016049,,bioprocess,,,STAT3,uniprot_P40763,uniprot,P40763,,protein,,,increases,,,,,,,,,PMC7016966,positive-activation,
apoptosis,go_GO:0006915,go,GO:0006915,,bioprocess,,,STAT3,uniprot_P40763,uniprot,P40763,,protein,,,decreases,,,,,,,,,PMC7016966,STAT3 expression/activity in ABC-DLBCL cells abrogates lymphoma cell growth and triggers apoptosis,negative-activation
STAT3,uniprot_P40763,uniprot,P40763,,protein,,,IL6,uniprot_P05231,uniprot,P05231,,protein,,,increases,,,,,,,,,PMC7016966,positive-activation,
JAK,uaz_UA-BP-GGP-00072,uaz,UA-BP-GGP-00072,,protein,,,IL6,uniprot_P05231,uniprot,P05231,,protein,,,increases,,,,,,,,,PMC7016966,positive-activation,
