Regulator Name,Regulator Type,Regulator Subtype,Regulator HGNC Symbol,Regulator Database,Regulator ID,Regulator Compartment,Regulator Compartment ID,Regulated Name,Regulated Type,Regulated Subtype,Regulated HGNC Symbol,Regulated Database,Regulated ID,Regulated Compartment,Regulated Compartment ID,Sign,Connection Type,Mechanism,Site,Cell Line,Cell Type,Tissue Type,Organism,Score,Source,Statements,Paper IDs
proliferation,bioprocess,,,go,GO:0008283,,,BNZ1,protein,,,uaz,UAZ04010,,,negative,,,,,,,,1,,,PMC6478569
CD4,protein,,,uniprot,P01730,,,BNZ1,protein,,,uaz,UAZ04010,,,negative,,,,,,,,1,,,PMC6478569
CD25,protein,,,uniprot,P01589,,,BNZ1,protein,,,uaz,UAZ04010,,,negative,,,,,,,,1,,,PMC6478569
IL15,protein,,,uniprot,P40933,,,BNZ1,protein,,,uaz,UAZ04010,,,negative,,,,,,,,1,,,PMC6478569
IL15,protein,,,uniprot,P40933,,,cell_viability,bioprocess,,,mesh,D002470,,,positive,,,,,,,,1,,,PMC6478569
BNZ1,protein,,,uaz,UAZ04010,,,apoptosis,bioprocess,,,go,GO:0006915,,,positive,,,,,,,,1,,,PMC6478569
IL15,protein,,,uniprot,P40933,,,proliferation,bioprocess,,,go,GO:0008283,,,positive,,,,,,,,1,,,PMC6478569
IL3,protein,,,uniprot,P08700,,,proliferation,bioprocess,,,go,GO:0008283,,,negative,,,,,,,,1,,,PMC6478569
IL2,protein,,,uniprot,P60568,,,BNZ1,protein,,,uaz,UAZ04010,,,negative,,,,,,,,1,,,PMC6478569
IL15,protein,,,uniprot,P40933,,,BNZ1,protein,,,uaz,UAZ04010,,,negative,,,,,,,,1,,,PMC6478569
apoptosis,bioprocess,,,go,GO:0006915,,,BNZ1,protein,,,uaz,UAZ04010,,,positive,,,,,,,,1,,,PMC6478569
PRCA,protein,,,uniprot,C7LYP8,,,STAT3,protein,,,uniprot,P40763,,,positive,,,,,,,,1,,,PMC4317942
IL15,protein,,,uniprot,P40933,,,antigen,protein,,,uaz,UA-BP-GGP-00007,,,positive,,,,,,,,1,,,PMC3213185
PDGF,family,,,be,PDGF,,,antigen,protein,,,uaz,UA-BP-GGP-00007,,,positive,,,,,,,,1,,,PMC3213185
cell_proliferation,bioprocess,,,go,GO:0008283,,,mitogenactivated_protein_kinase,family,,,be,MAPK,,,positive,,,,,,,,1,,,PMC3213185
IFNG,protein,,,uniprot,P01579,,,SMAD,family,,,be,SMAD,,,negative,,,,,,,,1,,,PMC3213185
cell_death,bioprocess,,,go,GO:0008219,,,STAT3,protein,,,uniprot,P40763,,,negative,,,,,,,,1,,,PMC3213185
cell_death,bioprocess,,,go,GO:0008219,,,Ceramide,simple-chemical,,,pubchem,5283563,,,negative,,,,,,,,1,,,PMC3213185
STAT3,protein,,,uniprot,P40763,,,apoptosis,bioprocess,,,go,GO:0006915,,,positive,,,,,,,,1,,,PMC3213185
apoptosis,bioprocess,,,go,GO:0006915,,,STAT3,protein,,,uniprot,P40763,,,positive,,,,,,,,1,,,PMC3213185
MCL1,protein,,,uniprot,Q07820,,,STAT3,protein,,,uniprot,P40763,,,positive,,,,,,,,1,,,PMC3213185
Fas,protein,,,uniprot,P25445,,,apoptosis,bioprocess,,,go,GO:0006915,,,positive,,,,,,,,1,,,PMC3213185
apoptosis,bioprocess,,,go,GO:0006915,,,SPHK1,protein,,,uniprot,Q9NYA1,,,negative,,,,,,,,1,,,PMC3213185
apoptosis,bioprocess,,,go,GO:0006915,,,RAS,family,,,pfam,PF00071,,,negative,,,,,,,,1,,,PMC3213185
apoptosis,bioprocess,,,go,GO:0006915,,,JAK,protein,,,uaz,UA-BP-GGP-00072,,,negative,,,,,,,,1,,,PMC3213185
apoptosis,bioprocess,,,go,GO:0006915,,,PI3K,protein,,,be,PI3K,,,negative,,,,,,,,1,,,PMC3213185
apoptosis,bioprocess,,,go,GO:0006915,,,IL2RBT,protein,,,uaz,UAZ03887,,,negative,,,,,,,,1,,,PMC3213185
apoptosis,bioprocess,,,go,GO:0006915,,,MEK,family,,,be,MEK,,,negative,,,,,,,,1,,,PMC3213185
apoptosis,bioprocess,,,go,GO:0006915,,,ERK,family,,,be,ERK,,,negative,,,,,,,,1,,,PMC3213185
apoptosis,bioprocess,,,go,GO:0006915,,,IL2RB,protein,,,uniprot,P14784,,,negative,,,,,,,,1,,,PMC3213185
apoptosis,bioprocess,,,go,GO:0006915,,,RAS,family,,,pfam,PF00071,,,negative,,,,,,,,1,,,PMC3213185
TCR,protein,,,uniprot,P04234,,,CTLA4,protein,,,uniprot,P16410,,,negative,,,,,,,,1,,,PMC3213185
STAT3,protein,,,uniprot,P40763,,,transcription,bioprocess,,,go,GO:0006351,,,positive,,,,,,,,1,,,PMC7193483
STAT3,protein,,,uniprot,P40763,,,transcription,bioprocess,,,go,GO:0006351,,,positive,,,,,,,,1,,,PMC7193483
CD8,family,,,be,CD8,,,miR146b_promoter,protein,,,uaz,UAZ04685,,,negative,,,,,,,,1,,,PMC7193483
FasL,protein,,,uniprot,P48023,,,HuR,protein,,,uniprot,Q15717,,,positive,,,,,,,,1,,,PMC7193483
CD8,protein,,,uaz,UAZ01273,,,CD8,family,,,be,CD8,,,negative,,,,,,,,1,,,PMC4742196
CD4,protein,,,uaz,UAZ01272,,,CD8,family,,,be,CD8,,,negative,,,,,,,,1,,,PMC4742196
Fas,protein,,,uniprot,P25445,,,apoptosis,bioprocess,,,go,GO:0006915,,,positive,,,,,,,,1,,,PMC4742196
FAS,protein,,,uniprot,P25445,,,apoptosis,bioprocess,,,go,GO:0006915,,,positive,,,,,,,,1,,,PMC4742196
differentiation,bioprocess,,,go,GO:0030154,,,RAD21,protein,,,uniprot,O60216,,,positive,,,,,,,,1,,,PMC3877422
CXCR4,protein,,,uniprot,P61073,,,SLIT2,protein,,,uniprot,O94813,,,positive,,,,,,,,1,,,PMC3877422
STAT3,protein,,,uniprot,P40763,,,STAT3,protein,,,uniprot,P40763,,,positive,,,,,,,,1,,,PMC3877422
FGR,protein,,,uniprot,P09769,,,BCRABL,protein,,,uaz,UAZ03599,,,positive,,,,,,,,1,,,PMC3877422
FAS,protein,,,uniprot,P25445,,,apoptosis,bioprocess,,,go,GO:0006915,,,positive,,,,,,,,1,,,PMC3877422
cell_cycle,bioprocess,,,go,GO:0007049,,,BCL11B,protein,,,uniprot,Q9C0K0,,,positive,,,,,,,,1,,,PMC3877422
proliferation,bioprocess,,,go,GO:0008283,,,DCs,simple-chemical,,,pubchem,6234,,,negative,,,,,,,,1,,,PMC3877422
transcription,bioprocess,,,go,GO:0006351,,,STAT,protein,,,uniprot,P35610,,,positive,,,,,,,,1,,,PMC7040228
apoptosis,bioprocess,,,go,GO:0006915,,,STAT3,protein,,,uniprot,P40763,,,negative,,,,,,,,1,,,PMC7040228
DSBs,protein,,,uaz,UAZ04821,,,p53,protein,,,uniprot,P04637,,,positive,,,,,,,,1,,,PMC5814445
p53,protein,,,uniprot,P04637,,,cell_death,bioprocess,,,go,GO:0008219,,,positive,,,,,,,,1,,,PMC5814445
Fig,protein,,,uniprot,Q9HD26,,,TCL1,protein,,,uniprot,O95988,,,positive,,,,,,,,1,,,PMC5814445
MTCP1,protein,,,uniprot,P56277,,,TCL1,protein,,,uniprot,O95988,,,positive,,,,,,,,1,,,PMC5814445
TCL1B,protein,,,uniprot,O95988,,,TCL1,protein,,,uniprot,O95988,,,positive,,,,,,,,1,,,PMC5814445
ROS,simple-chemical,,,chebi,CHEBI:26523,,,TCL1A,protein,,,uniprot,P56279,,,positive,,,,,,,,1,,,PMC5814445
apoptosis,bioprocess,,,go,GO:0006915,,,Panobinostat,simple-chemical,,,pubchem,6918837,,,positive,,,,,,,,1,,,PMC5814445
apoptosis,bioprocess,,,go,GO:0006915,,,Idasanutlin,protein,,,uaz,UAZ04780,,,positive,,,,,,,,1,,,PMC5814445
DDR,family,,,pfam,PF08841,,,p53,protein,,,uniprot,P04637,,,positive,,,,,,,,1,,,PMC5814445
DDR,family,,,pfam,PF08841,,,ATM,protein,,,uniprot,Q13315,,,positive,,,,,,,,1,,,PMC5814445
histones,family,,,be,Histone,,,DAC,protein,,,uniprot,P22760,,,negative,,,,,,,,1,,,PMC5814445
Abs,protein,,,uniprot,Q9UJV9,,,antigen,protein,,,uaz,UA-BP-GGP-00007,,,positive,,,,,,,,1,,,PMC4616464
sensor,family,,,pfam,PF13796,,,exocytosis,bioprocess,,,go,GO:0006887,,,positive,,,,,,,,1,,,PMC5419584
cAMP,protein,,,uniprot,P49913,,,exocytosis,bioprocess,,,go,GO:0006887,,,positive,,,,,,,,1,,,PMC5419584
exocytosis,bioprocess,,,go,GO:0006887,,,calcium,simple-chemical,,,pubchem,5460341,,,positive,,,,,,,,1,,,PMC5419584
AKT,family,,,be,AKT,,,MAPK,family,,,be,ERK,,,positive,,,,,,,,1,,,PMC5419584
AKT,family,,,be,AKT,,,MAPK,family,,,be,ERK,,,positive,,,,,,,,1,,,PMC5419584
transport,bioprocess,,,go,GO:0006810,,,Akt1,protein,,,uniprot,P31749,,,positive,,,,,,,,1,,,PMC5732835
cell_proliferation,bioprocess,,,go,GO:0008283,,,NBS1,protein,,,uniprot,O60934,,,positive,,,,,,,,1,,,PMC5732835
CD26,protein,,,uniprot,P27487,,,CD7,protein,,,uniprot,P09564,,,negative,,,,,,,,1,,,PMC5732835
CD26,protein,,,uniprot,P27487,,,CD26,protein,,,uniprot,P27487,,,negative,,,,,,,,1,,,PMC5732835
CD7,protein,,,uniprot,P09564,,,CD7,protein,,,uniprot,P09564,,,negative,,,,,,,,1,,,PMC5732835
CD7,protein,,,uniprot,P09564,,,CD26,protein,,,uniprot,P27487,,,negative,,,,,,,,1,,,PMC5732835
apoptosis,bioprocess,,,go,GO:0006915,,,MK2206,protein,,,uaz,UAZ03543,,,negative,,,,,,,,1,,,PMC5732835
apoptosis,bioprocess,,,go,GO:0006915,,,AKT_inhibitor,simple-chemical,,,uaz,UAZ00178,,,negative,,,,,,,,1,,,PMC5732835
apoptosis,bioprocess,,,go,GO:0006915,,,cell_growth,bioprocess,,,go,GO:0016049,,,negative,,,,,,,,1,,,PMC5732835
MEC04,protein,,,uaz,UAZ04947,,,CP690550,protein,,,uaz,UAZ04929,,,negative,,,,,,,,1,,,PMC5732835
transport,bioprocess,,,go,GO:0006810,,,Akt1,protein,,,uniprot,P31749,,,positive,,,,,,,,1,,,PMC5732835
cell_proliferation,bioprocess,,,go,GO:0008283,,,NBS1,protein,,,uniprot,O60934,,,positive,,,,,,,,1,,,PMC5732835
CD26,protein,,,uniprot,P27487,,,CD7,protein,,,uniprot,P09564,,,negative,,,,,,,,1,,,PMC5732835
CD26,protein,,,uniprot,P27487,,,CD26,protein,,,uniprot,P27487,,,negative,,,,,,,,1,,,PMC5732835
CD7,protein,,,uniprot,P09564,,,CD7,protein,,,uniprot,P09564,,,negative,,,,,,,,1,,,PMC5732835
CD7,protein,,,uniprot,P09564,,,CD26,protein,,,uniprot,P27487,,,negative,,,,,,,,1,,,PMC5732835
apoptosis,bioprocess,,,go,GO:0006915,,,MK2206,protein,,,uaz,UAZ03543,,,negative,,,,,,,,1,,,PMC5732835
apoptosis,bioprocess,,,go,GO:0006915,,,AKT_inhibitor,simple-chemical,,,uaz,UAZ00178,,,negative,,,,,,,,1,,,PMC5732835
apoptosis,bioprocess,,,go,GO:0006915,,,cell_growth,bioprocess,,,go,GO:0016049,,,negative,,,,,,,,1,,,PMC5732835
MEC04,protein,,,uaz,UAZ04947,,,CP690550,protein,,,uaz,UAZ04929,,,negative,,,,,,,,1,,,PMC5732835
IL4,protein,,,uniprot,P05112,,,PTCLs,protein,,,uaz,UAZ05036,,,positive,,,,,,,,1,,,PMC4854725
PTCL,protein,,,uaz,UAZ04906,,,Spn,protein,,,uniprot,O75398,,,positive,,,,,,,,1,,,PMC4854725
TCR,protein,,,uniprot,P04234,,,proliferation,bioprocess,,,go,GO:0008283,,,positive,,,,,,,,1,,,PMC4854725
cell_proliferation,bioprocess,,,go,GO:0008283,,,TCR,protein,,,uniprot,P04234,,,positive,,,,,,,,1,,,PMC4854725
TCR,protein,,,uniprot,P04234,,,calcineurin_inhibitor,protein,,,uniprot,Q9Y6J0,,,positive,,,,,,,,1,,,PMC4854725
CD1d,protein,,,uniprot,P15813,,,TCR,protein,,,uniprot,P04234,,,positive,,,,,,,,1,,,PMC4854725
cell_expansion,bioprocess,,,go,GO:0016049,,,transcription,bioprocess,,,go,GO:0006351,,,positive,,,,,,,,1,,,PMC4854725
differentiation,bioprocess,,,go,GO:0030154,,,transcription,bioprocess,,,go,GO:0006351,,,positive,,,,,,,,1,,,PMC4854725
TCR,protein,,,uniprot,P04234,,,antigen,protein,,,uaz,UA-BP-GGP-00007,,,positive,,,,,,,,1,,,PMC4854725
TCR,protein,,,uniprot,P04234,,,ITKSYK,protein,,,uaz,UAZ05066,,,positive,,,,,,,,1,,,PMC4854725
CD8,family,,,be,CD8,,,STAT,protein,,,uniprot,P35610,,,positive,,,,,,,,1,,,PMC5803196
CAR,protein,,,uniprot,P36575,,,CD19,protein,,,uniprot,P15391,,,positive,,,,,,,,1,,,PMC6936092
CAR,protein,,,uniprot,P36575,,,CAR,protein,,,uniprot,P36575,,,positive,,,,,,,,1,,,PMC6936092
cytokine_production,bioprocess,,,go,GO:0001816,,,CD30,protein,,,uniprot,P28908,,,positive,,,,,,,,1,,,PMC6936092
proliferation,bioprocess,,,go,GO:0008283,,,CD30,protein,,,uniprot,P28908,,,positive,,,,,,,,1,,,PMC6936092
CD30,protein,,,uniprot,P28908,,,CAR,protein,,,uniprot,P36575,,,positive,,,,,,,,1,,,PMC6936092
TCR,protein,,,uniprot,P04234,,,TRAC,protein,,,uniprot,P01848,,,positive,,,,,,,,1,,,PMC6936092
CD3,protein,,,be,CD3,,,TRAC,protein,,,uniprot,P01848,,,positive,,,,,,,,1,,,PMC6936092
danger,protein,,,uniprot,Q8IWB1,,,heat,family,,,pfam,PF02985,,,positive,,,,,,,,1,,,PMC6936092
cell_death,bioprocess,,,go,GO:0008219,,,CAR,protein,,,uniprot,P36575,,,positive,,,,,,,,1,,,PMC6936092
cell_death,bioprocess,,,go,GO:0008219,,,CAR,protein,,,uniprot,P36575,,,positive,,,,,,,,1,,,PMC6936092
CD20,protein,,,uniprot,P11836,,,rituximab,protein,,,uaz,UAZ01285,,,negative,,,,,,,,1,,,PMC6936092
JAK2,protein,,,uniprot,O60674,,,STAT3,protein,,,uniprot,P40763,,,negative,,,,,,,,1,,,PMC7016966
MPN,protein,,,uniprot,Q9BQR3,,,STAT3,protein,,,uniprot,P40763,,,negative,,,,,,,,1,,,PMC7016966
STAT3,protein,,,uniprot,P40763,,,KIT,protein,,,uniprot,P10721,,,positive,,,,,,,,1,,,PMC7016966
STAT5,family,,,be,STAT5,,,KIT,protein,,,uniprot,P10721,,,positive,,,,,,,,1,,,PMC7016966
STAT1,protein,,,uniprot,P42224,,,KIT,protein,,,uniprot,P10721,,,positive,,,,,,,,1,,,PMC7016966
proliferation,bioprocess,,,go,GO:0008283,,,KIT,protein,,,uniprot,P10721,,,positive,,,,,,,,1,,,PMC7016966
proliferation,bioprocess,,,go,GO:0008283,,,FLT3,protein,,,uniprot,P36888,,,positive,,,,,,,,1,,,PMC7016966
proliferation,bioprocess,,,go,GO:0008283,,,KIT_receptors,protein,,,uaz,UAZ05201,,,positive,,,,,,,,1,,,PMC7016966
autophagy,bioprocess,,,go,GO:0006914,,,KIT,protein,,,uniprot,P10721,,,positive,,,,,,,,1,,,PMC7016966
autophagy,bioprocess,,,go,GO:0006914,,,STAT3,protein,,,uniprot,P40763,,,positive,,,,,,,,1,,,PMC7016966
immune_response,bioprocess,,,go,GO:0006955,,,STAT3,protein,,,uniprot,P40763,,,negative,,,,,,,,1,,,PMC7016966
AML,protein,,,uniprot,Q6PF39,,,STAT3,protein,,,uniprot,P40763,,,negative,,,,,,,,1,,,PMC7016966
STAT5,family,,,be,STAT5,,,FLT3ITD,protein,,,uaz,UAZ05211,,,positive,,,,,,,,1,,,PMC7016966
cell_survival,bioprocess,,,mesh,D002470,,,STAT5,family,,,be,STAT5,,,positive,,,,,,,,1,,,PMC7016966
STAT5,family,,,be,STAT5,,,ROS,simple-chemical,,,chebi,CHEBI:26523,,,positive,,,,,,,,1,,,PMC7016966
cell_growth,bioprocess,,,go,GO:0016049,,,STAT5,family,,,be,STAT5,,,negative,,,,,,,,1,,,PMC7016966
STAT5B,protein,,,uniprot,P51692,,,acid,simple-chemical,,,pubchem,444212,,,positive,,,,,,,,1,,,PMC7016966
cell_growth,bioprocess,,,go,GO:0016049,,,STAT3,protein,,,uniprot,P40763,,,positive,,,,,,,,1,,,PMC7016966
apoptosis,bioprocess,,,go,GO:0006915,,,STAT3,protein,,,uniprot,P40763,,,negative,,,,,,,,1,,,PMC7016966
STAT3,protein,,,uniprot,P40763,,,IL6,protein,,,uniprot,P05231,,,positive,,,,,,,,1,,,PMC7016966
JAK,protein,,,uaz,UA-BP-GGP-00072,,,IL6,protein,,,uniprot,P05231,,,positive,,,,,,,,1,,,PMC7016966
proliferation,bioprocess,,,go,GO:0008283,,,STAT5,family,,,be,STAT5,,,positive,,,,,,,,1,,,PMC7016966
differentiation,bioprocess,,,go,GO:0030154,,,STAT5,family,,,be,STAT5,,,positive,,,,,,,,1,,,PMC7016966
proliferation,bioprocess,,,go,GO:0008283,,,STAT3,protein,,,uniprot,P40763,,,positive,,,,,,,,1,,,PMC7016966
differentiation,bioprocess,,,go,GO:0030154,,,STAT3,protein,,,uniprot,P40763,,,positive,,,,,,,,1,,,PMC7016966
STAT5,family,,,be,STAT5,,,transcription,bioprocess,,,go,GO:0006351,,,positive,,,,,,,,1,,,PMC7016966
transcription,bioprocess,,,go,GO:0006351,,,BCL2,family,,,uniprot,P10415,,,positive,,,,,,,,1,,,PMC7016966
transcription,bioprocess,,,go,GO:0006351,,,cell_cycle,bioprocess,,,go,GO:0007049,,,positive,,,,,,,,1,,,PMC7016966
STAT5,family,,,be,STAT5,,,transcription,bioprocess,,,go,GO:0006351,,,negative,,,,,,,,1,,,PMC7016966
STAT3,protein,,,uaz,UAZ05192,,,TKOs,protein,,,uaz,UAZ05271,,,positive,,,,,,,,1,,,PMC7016966
STAT3,protein,,,uniprot,P40763,,,JAK2,protein,,,uniprot,O60674,,,positive,,,,,,,,1,,,PMC7016966
STAT5,family,,,be,STAT5,,,JAK2,protein,,,uniprot,O60674,,,positive,,,,,,,,1,,,PMC7016966
STAT3,protein,,,uniprot,P40763,,,JAK2,protein,,,uniprot,O60674,,,positive,,,,,,,,1,,,PMC7016966
STAT5,family,,,be,STAT5,,,Gab2,protein,,,uniprot,Q9UQC2,,,positive,,,,,,,,1,,,PMC7016966
cell_growth,bioprocess,,,go,GO:0016049,,,NOX,protein,,,uniprot,Q9Y5S8,,,positive,,,,,,,,1,,,PMC7016966
cell_growth,bioprocess,,,go,GO:0016049,,,NADPHoxidase,protein,,,be,NADPH_oxidase,,,positive,,,,,,,,1,,,PMC7016966
cell_growth,bioprocess,,,go,GO:0016049,,,NADPHoxidase,protein,,,be,NADPH_oxidase,,,positive,,,,,,,,1,,,PMC7016966
cell_growth,bioprocess,,,go,GO:0016049,,,NOX,protein,,,uniprot,Q9Y5S8,,,positive,,,,,,,,1,,,PMC7016966
ROS,simple-chemical,,,chebi,CHEBI:26523,,,NADPHoxidase,protein,,,be,NADPH_oxidase,,,positive,,,,,,,,1,,,PMC7016966
ROS,simple-chemical,,,chebi,CHEBI:26523,,,NOX,protein,,,uniprot,Q9Y5S8,,,positive,,,,,,,,1,,,PMC7016966
JAK2,protein,,,uniprot,O60674,,,PYSTAT5,protein,,,uaz,UAZ05204,,,positive,,,,,,,,1,,,PMC7016966
ROS,simple-chemical,,,chebi,CHEBI:26523,,,PYSTAT5,protein,,,uaz,UAZ05204,,,positive,,,,,,,,1,,,PMC7016966
BCRABL,protein,,,uaz,UAZ03599,,,PYSTAT5,protein,,,uaz,UAZ05204,,,positive,,,,,,,,1,,,PMC7016966
KRas,protein,,,uniprot,P01116,,,PS,simple-chemical,,,pubchem,7408258,,,positive,,,,,,,,1,,,PMC7016966
apoptosis,bioprocess,,,go,GO:0006915,,,uSTAT5,protein,,,uniprot,P42229,,,negative,,,,,,,,1,,,PMC7016966
ROS,simple-chemical,,,chebi,CHEBI:26523,,,uSTAT5,protein,,,uniprot,P42229,,,negative,,,,,,,,1,,,PMC7016966
KIT,protein,,,uniprot,P10721,,,crenolanib,protein,,,uaz,UAZ05248,,,negative,,,,,,,,1,,,PMC7016966
KIT,protein,,,uniprot,P10721,,,Midostaurin,simple-chemical,,,pubchem,9829523,,,negative,,,,,,,,1,,,PMC7016966
KIT,protein,,,uniprot,P10721,,,tandutinib,simple-chemical,,,pubchem,3038522,,,negative,,,,,,,,1,,,PMC7016966
KIT,protein,,,uniprot,P10721,,,DCC2618,protein,,,uaz,UAZ05286,,,negative,,,,,,,,1,,,PMC7016966
JAK2,protein,,,uniprot,O60674,,,pacritinib,simple-chemical,,,pubchem,46216796,,,negative,,,,,,,,1,,,PMC7016966
HL,protein,,,uniprot,P11150,,,Fedratinib,protein,,,uaz,UAZ05225,,,negative,,,,,,,,1,,,PMC7016966
STAT3,protein,,,uniprot,P40763,,,Curcumin,simple-chemical,,,pubchem,969516,,,negative,,,,,,,,1,,,PMC7016966
STAT3,protein,,,uniprot,P40763,,,STAT5,family,,,be,STAT5,,,negative,,,,,,,,1,,,PMC7016966
MM,simple-chemical,,,pubchem,6993082,,,FLLL32,protein,,,uaz,UAZ05279,,,negative,,,,,,,,1,,,PMC7016966
STAT3,protein,,,uniprot,P40763,,,EC804,protein,,,uaz,UAZ05310,,,negative,,,,,,,,1,,,PMC7016966
STAT3,protein,,,uniprot,P40763,,,STAT5,family,,,be,STAT5,,,negative,,,,,,,,1,,,PMC7016966
