regulator_name,regulator_id,database1,ID1,location1,element_type1,cell_type1,level1,regulated_name,regulated_id,database2,ID2,location2,element_type2,cell_type2,level2,interaction,score,kindscore,matchlevel,epistemicvalue,file_numbers,number,Regulator Variable Name,Regulated Variable Name,PaperID,,
BNZ1,uaz_UAZ04010,uaz,UAZ04010,,protein,,,annexin_V,uniprot_P08758,uniprot,P08758,,protein,,,increases,1,,,,,,,,PMC6478569,positive-activation,
apoptosis,go_GO:0006915,go,GO:0006915,,bioprocess,,,BNZ1,uaz_UAZ04010,uaz,UAZ04010,,protein,,,increases,1,,,,,,,,PMC6478569,positive-activation,
apoptosis,go_GO:0006915,go,GO:0006915,,bioprocess,,,BNZ1,uaz_UAZ04010,uaz,UAZ04010,,protein,,,increases,1,,,,,,,,PMC6478569,positive-activation,
BNZ1,uaz_UAZ04010,uaz,UAZ04010,,protein,,,apoptosis,go_GO:0006915,go,GO:0006915,,bioprocess,,,increases,1,,,,,,,,PMC6478569,positive-activation,
IL15,uniprot_P40933,uniprot,P40933,,protein,,,NKL,uniprot_Q9BZE0,uniprot,Q9BZE0,,protein,,,increases,1,,,,,,,,PMC6478569,positive-activation,
proliferation,go_GO:0008283,go,GO:0008283,,bioprocess,,,BNZ1,uaz_UAZ04010,uaz,UAZ04010,,protein,,,decreases,1,,,,,,,,PMC6478569,BNZ-1 inhibited proliferation,negative-activation
IL15,uniprot_P40933,uniprot,P40933,,protein,,,proliferation,go_GO:0008283,go,GO:0008283,,bioprocess,,,increases,1,,,,,,,,PMC6478569,positive-activation,
proliferation,go_GO:0008283,go,GO:0008283,,bioprocess,,,BNZ1,uaz_UAZ04010,uaz,UAZ04010,,protein,,,decreases,1,,,,,,,,PMC6478569,BNZ-1 at 10 μM inhibited this ex vivo proliferation,negative-activation
CD4,uniprot_P01730,uniprot,P01730,,protein,,,BNZ1,uaz_UAZ04010,uaz,UAZ04010,,protein,,,decreases,1,,,,,,,,PMC6478569,BNZ-1 significantly decreased percentages and total numbers of CD3 + CD4,negative-activation
CD25,uniprot_P01589,uniprot,P01589,,protein,,,BNZ1,uaz_UAZ04010,uaz,UAZ04010,,protein,,,decreases,1,,,,,,,,PMC6478569,BNZ-1 significantly decreased percentages and total numbers of CD3 + CD4 + CD25,negative-activation
IL15,uniprot_P40933,uniprot,P40933,,protein,,,BNZ1,uaz_UAZ04010,uaz,UAZ04010,,protein,,,decreases,1,,,,,,,,PMC6478569,BNZ-1 effectively inhibited the in vivo proliferation of CD8+ T cells in an IL-15,negative-activation
IL15,uniprot_P40933,uniprot,P40933,,protein,,,cell_viability,mesh_D002470,mesh,D002470,,bioprocess,,,increases,1,,,,,,,,PMC6478569,positive-activation,
BNZ1,uaz_UAZ04010,uaz,UAZ04010,,protein,,,apoptosis,go_GO:0006915,go,GO:0006915,,bioprocess,,,increases,1,,,,,,,,PMC6478569,positive-activation,
IL15,uniprot_P40933,uniprot,P40933,,protein,,,proliferation,go_GO:0008283,go,GO:0008283,,bioprocess,,,increases,1,,,,,,,,PMC6478569,positive-activation,
IL3,uniprot_P08700,uniprot,P08700,,protein,,,proliferation,go_GO:0008283,go,GO:0008283,,bioprocess,,,decreases,1,,,,,,,,PMC6478569,IL-3 mediated proliferation,negative-activation
IL2,uniprot_P60568,uniprot,P60568,,protein,,,BNZ1,uaz_UAZ04010,uaz,UAZ04010,,protein,,,decreases,1,,,,,,,,PMC6478569,BNZ-1 reduced the ability of both IL-2,negative-activation
IL15,uniprot_P40933,uniprot,P40933,,protein,,,BNZ1,uaz_UAZ04010,uaz,UAZ04010,,protein,,,decreases,1,,,,,,,,PMC6478569,BNZ-1 reduced the ability of both IL-2 and IL-15,negative-activation
apoptosis,go_GO:0006915,go,GO:0006915,,bioprocess,,,BNZ1,uaz_UAZ04010,uaz,UAZ04010,,protein,,,increases,1,,,,,,,,PMC6478569,positive-activation,
PRCA,uniprot_C7LYP8,uniprot,C7LYP8,,protein,,,STAT3,uniprot_P40763,uniprot,P40763,,protein,,,increases,1,,,,,,,,PMC4317942,positive-activation,
IL15,uniprot_P40933,uniprot,P40933,,protein,,,antigen,uaz_UA-BP-GGP-00007,uaz,UA-BP-GGP-00007,,protein,,,increases,1,,,,,,,,PMC3213185,positive-activation,
PDGF,be_PDGF,be,PDGF,,family,,,antigen,uaz_UA-BP-GGP-00007,uaz,UA-BP-GGP-00007,,protein,,,increases,1,,,,,,,,PMC3213185,positive-activation,
cell_proliferation,go_GO:0008283,go,GO:0008283,,bioprocess,,,mitogenactivated_protein_kinase,be_MAPK,be,MAPK,,family,,,increases,1,,,,,,,,PMC3213185,positive-activation,
IFNG,uniprot_P01579,uniprot,P01579,,protein,,,SMAD,be_SMAD,be,SMAD,,family,,,decreases,1,,,,,,,,PMC3213185,IFNG is also inhibited by the node SMAD,negative-activation
cell_death,go_GO:0008219,go,GO:0008219,,bioprocess,,,STAT3,uniprot_P40763,uniprot,P40763,,protein,,,decreases,1,,,,,,,,PMC3213185,STAT3 or over-expression of Ceramide in deregulated CTLs restores their activation induced cell death,negative-activation
cell_death,go_GO:0008219,go,GO:0008219,,bioprocess,,,Ceramide,pubchem_5283563,pubchem,5283563,,simple-chemical,,,decreases,1,,,,,,,,PMC3213185,Ceramide in deregulated CTLs restores their activation induced cell death,negative-activation
STAT3,uniprot_P40763,uniprot,P40763,,protein,,,apoptosis,go_GO:0006915,go,GO:0006915,,bioprocess,,,increases,1,,,,,,,,PMC3213185,positive-activation,
apoptosis,go_GO:0006915,go,GO:0006915,,bioprocess,,,STAT3,uniprot_P40763,uniprot,P40763,,protein,,,increases,1,,,,,,,,PMC3213185,positive-activation,
MCL1,uniprot_Q07820,uniprot,Q07820,,protein,,,STAT3,uniprot_P40763,uniprot,P40763,,protein,,,increases,1,,,,,,,,PMC3213185,positive-activation,
Fas,uniprot_P25445,uniprot,P25445,,protein,,,apoptosis,go_GO:0006915,go,GO:0006915,,bioprocess,,,increases,1,,,,,,,,PMC3213185,positive-activation,
apoptosis,go_GO:0006915,go,GO:0006915,,bioprocess,,,SPHK1,uniprot_Q9NYA1,uniprot,Q9NYA1,,protein,,,decreases,1,,,,,,,,PMC3213185,SPHK1 inhibition by using chemical inhibitors significantly induces apoptosis,negative-activation
apoptosis,go_GO:0006915,go,GO:0006915,,bioprocess,,,RAS,pfam_PF00071,pfam,PF00071,,family,,,decreases,1,,,,,,,,PMC3213185,"RAS through introducing a dominant negative form of RAS, or inhibition of MEK or ERK through chemical inhibitors, induces apoptosis",negative-activation
apoptosis,go_GO:0006915,go,GO:0006915,,bioprocess,,,JAK,uaz_UA-BP-GGP-00072,uaz,UA-BP-GGP-00072,,protein,,,decreases,1,,,,,,,,PMC3213185,"JAK  XREF_BIBR , PI3K  XREF_BIBR  or NFκB  XREF_BIBR  through chemical inhibitors induces apoptosis",negative-activation
apoptosis,go_GO:0006915,go,GO:0006915,,bioprocess,,,PI3K,be_PI3K,be,PI3K,,protein,,,decreases,1,,,,,,,,PMC3213185,PI3K  XREF_BIBR  or NFκB  XREF_BIBR  through chemical inhibitors induces apoptosis,negative-activation
apoptosis,go_GO:0006915,go,GO:0006915,,bioprocess,,,IL2RBT,uaz_UAZ03887,uaz,UAZ03887,,protein,,,decreases,1,,,,,,,,PMC3213185,"IL2RBT, or IL2RB knockout can lead to apoptosis",negative-activation
apoptosis,go_GO:0006915,go,GO:0006915,,bioprocess,,,MEK,be_MEK,be,MEK,,family,,,decreases,1,,,,,,,,PMC3213185,"MEK, ERK, IL2RBT, or IL2RB knockout can lead to apoptosis",negative-activation
apoptosis,go_GO:0006915,go,GO:0006915,,bioprocess,,,ERK,be_ERK,be,ERK,,family,,,decreases,1,,,,,,,,PMC3213185,"ERK, IL2RBT, or IL2RB knockout can lead to apoptosis",negative-activation
apoptosis,go_GO:0006915,go,GO:0006915,,bioprocess,,,IL2RB,uniprot_P14784,uniprot,P14784,,protein,,,decreases,1,,,,,,,,PMC3213185,IL2RB knockout can lead to apoptosis,negative-activation
apoptosis,go_GO:0006915,go,GO:0006915,,bioprocess,,,RAS,pfam_PF00071,pfam,PF00071,,family,,,decreases,1,,,,,,,,PMC3213185,"RAS, MEK, ERK, IL2RBT, or IL2RB knockout can lead to apoptosis",negative-activation
TCR,uniprot_P04234,uniprot,P04234,,protein,,,CTLA4,uniprot_P16410,uniprot,P16410,,protein,,,decreases,1,,,,,,,,PMC3213185,inhibition of TCR by CTLA4,negative-activation
STAT3,uniprot_P40763,uniprot,P40763,,protein,,,transcription,go_GO:0006351,go,GO:0006351,,bioprocess,,,increases,1,,,,,,,,PMC7193483,positive-activation,
STAT3,uniprot_P40763,uniprot,P40763,,protein,,,transcription,go_GO:0006351,go,GO:0006351,,bioprocess,,,increases,1,,,,,,,,PMC7193483,positive-activation,
CD8,be_CD8,be,CD8,,family,,,miR146b_promoter,uaz_UAZ04685,uaz,UAZ04685,,protein,,,decreases,1,,,,,,,,PMC7193483,miR-146b promoter methylation prevents miR-146b expression in CD8,negative-activation
FasL,uniprot_P48023,uniprot,P48023,,protein,,,HuR,uniprot_Q15717,uniprot,Q15717,,protein,,,increases,1,,,,,,,,PMC7193483,positive-activation,
CD8,uaz_UAZ01273,uaz,UAZ01273,,protein,,,CD8,be_CD8,be,CD8,,family,,,decreases,1,,,,,,,,PMC4742196,CD8 Treg suppress responses of both CD8+,negative-activation
CD4,uaz_UAZ01272,uaz,UAZ01272,,protein,,,CD8,be_CD8,be,CD8,,family,,,decreases,1,,,,,,,,PMC4742196,CD8 Treg suppress responses of both CD8+ and CD4+,negative-activation
Fas,uniprot_P25445,uniprot,P25445,,protein,,,apoptosis,go_GO:0006915,go,GO:0006915,,bioprocess,,,increases,1,,,,,,,,PMC4742196,positive-activation,
FAS,uniprot_P25445,uniprot,P25445,,protein,,,apoptosis,go_GO:0006915,go,GO:0006915,,bioprocess,,,increases,1,,,,,,,,PMC4742196,positive-activation,
differentiation,go_GO:0030154,go,GO:0030154,,bioprocess,,,RAD21,uniprot_O60216,uniprot,O60216,,protein,,,increases,1,,,,,,,,PMC3877422,positive-activation,
CXCR4,uniprot_P61073,uniprot,P61073,,protein,,,SLIT2,uniprot_O94813,uniprot,O94813,,protein,,,increases,1,,,,,,,,PMC3877422,positive-activation,
STAT3,uniprot_P40763,uniprot,P40763,,protein,,,STAT3,uniprot_P40763,uniprot,P40763,,protein,,,increases,1,,,,,,,,PMC3877422,positive-activation,
FGR,uniprot_P09769,uniprot,P09769,,protein,,,BCRABL,uaz_UAZ03599,uaz,UAZ03599,,protein,,,increases,1,,,,,,,,PMC3877422,positive-activation,
FAS,uniprot_P25445,uniprot,P25445,,protein,,,apoptosis,go_GO:0006915,go,GO:0006915,,bioprocess,,,increases,1,,,,,,,,PMC3877422,positive-activation,
cell_cycle,go_GO:0007049,go,GO:0007049,,bioprocess,,,BCL11B,uniprot_Q9C0K0,uniprot,Q9C0K0,,protein,,,increases,1,,,,,,,,PMC3877422,positive-activation,
proliferation,go_GO:0008283,go,GO:0008283,,bioprocess,,,DCs,pubchem_6234,pubchem,6234,,simple-chemical,,,decreases,1,,,,,,,,PMC3877422,"DCs, but also of resting T cells with blocking NRP1 antibodies inhibited the DC-induced proliferation",negative-activation
transcription,go_GO:0006351,go,GO:0006351,,bioprocess,,,STAT,uniprot_P35610,uniprot,P35610,,protein,,,increases,1,,,,,,,,PMC7040228,positive-activation,
apoptosis,go_GO:0006915,go,GO:0006915,,bioprocess,,,STAT3,uniprot_P40763,uniprot,P40763,,protein,,,decreases,1,,,,,,,,PMC7040228,STAT3 was observed to restore LGL apoptosis,negative-activation
DSBs,uaz_UAZ04821,uaz,UAZ04821,,protein,,,p53,uniprot_P04637,uniprot,P04637,,protein,,,increases,1,,,,,,,,PMC5814445,positive-activation,
p53,uniprot_P04637,uniprot,P04637,,protein,,,cell_death,go_GO:0008219,go,GO:0008219,,bioprocess,,,increases,1,,,,,,,,PMC5814445,positive-activation,
Fig,uniprot_Q9HD26,uniprot,Q9HD26,,protein,,,TCL1,uniprot_O95988,uniprot,O95988,,protein,,,increases,1,,,,,,,,PMC5814445,positive-activation,
MTCP1,uniprot_P56277,uniprot,P56277,,protein,,,TCL1,uniprot_O95988,uniprot,O95988,,protein,,,increases,1,,,,,,,,PMC5814445,positive-activation,
TCL1B,uniprot_O95988,uniprot,O95988,,protein,,,TCL1,uniprot_O95988,uniprot,O95988,,protein,,,increases,1,,,,,,,,PMC5814445,positive-activation,
ROS,chebi_CHEBI:26523,chebi,CHEBI:26523,,simple-chemical,,,TCL1A,uniprot_P56279,uniprot,P56279,,protein,,,increases,1,,,,,,,,PMC5814445,positive-activation,
apoptosis,go_GO:0006915,go,GO:0006915,,bioprocess,,,Panobinostat,pubchem_6918837,pubchem,6918837,,simple-chemical,,,increases,1,,,,,,,,PMC5814445,positive-activation,
apoptosis,go_GO:0006915,go,GO:0006915,,bioprocess,,,Idasanutlin,uaz_UAZ04780,uaz,UAZ04780,,protein,,,increases,1,,,,,,,,PMC5814445,positive-activation,
DDR,pfam_PF08841,pfam,PF08841,,family,,,p53,uniprot_P04637,uniprot,P04637,,protein,,,increases,1,,,,,,,,PMC5814445,positive-activation,
DDR,pfam_PF08841,pfam,PF08841,,family,,,ATM,uniprot_Q13315,uniprot,Q13315,,protein,,,increases,1,,,,,,,,PMC5814445,positive-activation,
histones,be_Histone,be,Histone,,family,,,DAC,uniprot_P22760,uniprot,P22760,,protein,,,decreases,1,,,,,,,,PMC5814445,DAC inhibition of histones,negative-activation
Abs,uniprot_Q9UJV9,uniprot,Q9UJV9,,protein,,,antigen,uaz_UA-BP-GGP-00007,uaz,UA-BP-GGP-00007,,protein,,,increases,1,,,,,,,,PMC4616464,positive-activation,
sensor,pfam_PF13796,pfam,PF13796,,family,,,exocytosis,go_GO:0006887,go,GO:0006887,,bioprocess,,,increases,1,,,,,,,,PMC5419584,positive-activation,
cAMP,uniprot_P49913,uniprot,P49913,,protein,,,exocytosis,go_GO:0006887,go,GO:0006887,,bioprocess,,,increases,1,,,,,,,,PMC5419584,positive-activation,
exocytosis,go_GO:0006887,go,GO:0006887,,bioprocess,,,calcium,pubchem_5460341,pubchem,5460341,,simple-chemical,,,increases,1,,,,,,,,PMC5419584,positive-activation,
AKT,be_AKT,be,AKT,,family,,,MAPK,be_ERK,be,ERK,,family,,,increases,1,,,,,,,,PMC5419584,positive-activation,
AKT,be_AKT,be,AKT,,family,,,MAPK,be_ERK,be,ERK,,family,,,increases,1,,,,,,,,PMC5419584,positive-activation,
transport,go_GO:0006810,go,GO:0006810,,bioprocess,,,Akt1,uniprot_P31749,uniprot,P31749,,protein,,,increases,1,,,,,,,,PMC5732835,positive-activation,
cell_proliferation,go_GO:0008283,go,GO:0008283,,bioprocess,,,NBS1,uniprot_O60934,uniprot,O60934,,protein,,,increases,1,,,,,,,,PMC5732835,positive-activation,
CD26,uniprot_P27487,uniprot,P27487,,protein,,,CD7,uniprot_P09564,uniprot,P09564,,protein,,,decreases,1,,,,,,,,PMC5732835,is aberrant loss of CD7 and CD26,negative-activation
CD26,uniprot_P27487,uniprot,P27487,,protein,,,CD26,uniprot_P27487,uniprot,P27487,,protein,,,decreases,1,,,,,,,,PMC5732835,is aberrant loss of CD7 and CD26,negative-activation
CD7,uniprot_P09564,uniprot,P09564,,protein,,,CD7,uniprot_P09564,uniprot,P09564,,protein,,,decreases,1,,,,,,,,PMC5732835,is aberrant loss of CD7,negative-activation
CD7,uniprot_P09564,uniprot,P09564,,protein,,,CD26,uniprot_P27487,uniprot,P27487,,protein,,,decreases,1,,,,,,,,PMC5732835,is aberrant loss of CD7 and CD26,negative-activation
apoptosis,go_GO:0006915,go,GO:0006915,,bioprocess,,,MK2206,uaz_UAZ03543,uaz,UAZ03543,,protein,,,decreases,1,,,,,,,,PMC5732835,MK-2206 was able to induce dose-dependent apoptosis,negative-activation
apoptosis,go_GO:0006915,go,GO:0006915,,bioprocess,,,AKT_inhibitor,uaz_UAZ00178,uaz,UAZ00178,,simple-chemical,,,decreases,1,,,,,,,,PMC5732835,"AKT inhibitor, MK-2206 was able to induce dose-dependent apoptosis",negative-activation
apoptosis,go_GO:0006915,go,GO:0006915,,bioprocess,,,cell_growth,go_GO:0016049,go,GO:0016049,,bioprocess,,,decreases,1,,,,,,,,PMC5732835,"cell growth, increased apoptosis",negative-activation
MEC04,uaz_UAZ04947,uaz,UAZ04947,,protein,,,CP690550,uaz_UAZ04929,uaz,UAZ04929,,protein,,,decreases,1,,,,,,,,PMC5732835,"CP-690,550 was tested in a human NKCL xenograft mouse model, and deactivate the dissemination of MEC04",negative-activation
transport,go_GO:0006810,go,GO:0006810,,bioprocess,,,Akt1,uniprot_P31749,uniprot,P31749,,protein,,,increases,1,,,,,,,,PMC5732835,positive-activation,
cell_proliferation,go_GO:0008283,go,GO:0008283,,bioprocess,,,NBS1,uniprot_O60934,uniprot,O60934,,protein,,,increases,1,,,,,,,,PMC5732835,positive-activation,
CD26,uniprot_P27487,uniprot,P27487,,protein,,,CD7,uniprot_P09564,uniprot,P09564,,protein,,,decreases,1,,,,,,,,PMC5732835,is aberrant loss of CD7 and CD26,negative-activation
CD26,uniprot_P27487,uniprot,P27487,,protein,,,CD26,uniprot_P27487,uniprot,P27487,,protein,,,decreases,1,,,,,,,,PMC5732835,is aberrant loss of CD7 and CD26,negative-activation
CD7,uniprot_P09564,uniprot,P09564,,protein,,,CD7,uniprot_P09564,uniprot,P09564,,protein,,,decreases,1,,,,,,,,PMC5732835,is aberrant loss of CD7,negative-activation
CD7,uniprot_P09564,uniprot,P09564,,protein,,,CD26,uniprot_P27487,uniprot,P27487,,protein,,,decreases,1,,,,,,,,PMC5732835,is aberrant loss of CD7 and CD26,negative-activation
apoptosis,go_GO:0006915,go,GO:0006915,,bioprocess,,,MK2206,uaz_UAZ03543,uaz,UAZ03543,,protein,,,decreases,1,,,,,,,,PMC5732835,MK-2206 was able to induce dose-dependent apoptosis,negative-activation
apoptosis,go_GO:0006915,go,GO:0006915,,bioprocess,,,AKT_inhibitor,uaz_UAZ00178,uaz,UAZ00178,,simple-chemical,,,decreases,1,,,,,,,,PMC5732835,"AKT inhibitor, MK-2206 was able to induce dose-dependent apoptosis",negative-activation
apoptosis,go_GO:0006915,go,GO:0006915,,bioprocess,,,cell_growth,go_GO:0016049,go,GO:0016049,,bioprocess,,,decreases,1,,,,,,,,PMC5732835,"cell growth, increased apoptosis",negative-activation
MEC04,uaz_UAZ04947,uaz,UAZ04947,,protein,,,CP690550,uaz_UAZ04929,uaz,UAZ04929,,protein,,,decreases,1,,,,,,,,PMC5732835,"CP-690,550 was tested in a human NKCL xenograft mouse model, and deactivate the dissemination of MEC04",negative-activation
IL4,uniprot_P05112,uniprot,P05112,,protein,,,PTCLs,uaz_UAZ05036,uaz,UAZ05036,,protein,,,increases,1,,,,,,,,PMC4854725,positive-activation,
PTCL,uaz_UAZ04906,uaz,UAZ04906,,protein,,,Spn,uniprot_O75398,uniprot,O75398,,protein,,,increases,1,,,,,,,,PMC4854725,positive-activation,
TCR,uniprot_P04234,uniprot,P04234,,protein,,,proliferation,go_GO:0008283,go,GO:0008283,,bioprocess,,,increases,1,,,,,,,,PMC4854725,positive-activation,
cell_proliferation,go_GO:0008283,go,GO:0008283,,bioprocess,,,TCR,uniprot_P04234,uniprot,P04234,,protein,,,increases,1,,,,,,,,PMC4854725,positive-activation,
TCR,uniprot_P04234,uniprot,P04234,,protein,,,calcineurin_inhibitor,uniprot_Q9Y6J0,uniprot,Q9Y6J0,,protein,,,increases,1,,,,,,,,PMC4854725,positive-activation,
CD1d,uniprot_P15813,uniprot,P15813,,protein,,,TCR,uniprot_P04234,uniprot,P04234,,protein,,,increases,1,,,,,,,,PMC4854725,positive-activation,
cell_expansion,go_GO:0016049,go,GO:0016049,,bioprocess,,,transcription,go_GO:0006351,go,GO:0006351,,bioprocess,,,increases,1,,,,,,,,PMC4854725,positive-activation,
differentiation,go_GO:0030154,go,GO:0030154,,bioprocess,,,transcription,go_GO:0006351,go,GO:0006351,,bioprocess,,,increases,1,,,,,,,,PMC4854725,positive-activation,
TCR,uniprot_P04234,uniprot,P04234,,protein,,,antigen,uaz_UA-BP-GGP-00007,uaz,UA-BP-GGP-00007,,protein,,,increases,1,,,,,,,,PMC4854725,positive-activation,
TCR,uniprot_P04234,uniprot,P04234,,protein,,,ITKSYK,uaz_UAZ05066,uaz,UAZ05066,,protein,,,increases,1,,,,,,,,PMC4854725,positive-activation,
