Regulator Name,Regulator Type,Regulator Subtype,Regulator HGNC Symbol,Regulator Database,Regulator ID,Regulator Compartment,Regulator Compartment ID,Regulated Name,Regulated Type,Regulated Subtype,Regulated HGNC Symbol,Regulated Database,Regulated ID,Regulated Compartment,Regulated Compartment ID,Sign,Connection Type,Mechanism,Site,Cell Line,Cell Type,Tissue Type,Organism,Score,Source,Statements,Paper IDs
CD20,protein,,,uniprot,P11836,,,rituximab,protein,,,uaz,UAZ01285,,,negative,,,,,,,,,,,PMC6936092
JAK2,protein,,,uniprot,O60674,,,STAT3,protein,,,uniprot,P40763,,,negative,,,,,,,,,,,PMC7016966
MPN,protein,,,uniprot,Q9BQR3,,,STAT3,protein,,,uniprot,P40763,,,negative,,,,,,,,,,,PMC7016966
STAT3,protein,,,uniprot,P40763,,,KIT,protein,,,uniprot,P10721,,,positive,,,,,,,,,,,PMC7016966
STAT5,family,,,be,STAT5,,,KIT,protein,,,uniprot,P10721,,,positive,,,,,,,,,,,PMC7016966
STAT1,protein,,,uniprot,P42224,,,KIT,protein,,,uniprot,P10721,,,positive,,,,,,,,,,,PMC7016966
proliferation,bioprocess,,,go,GO:0008283,,,KIT,protein,,,uniprot,P10721,,,positive,,,,,,,,,,,PMC7016966
proliferation,bioprocess,,,go,GO:0008283,,,FLT3,protein,,,uniprot,P36888,,,positive,,,,,,,,,,,PMC7016966
proliferation,bioprocess,,,go,GO:0008283,,,KIT_receptors,protein,,,uaz,UAZ05201,,,positive,,,,,,,,,,,PMC7016966
autophagy,bioprocess,,,go,GO:0006914,,,KIT,protein,,,uniprot,P10721,,,positive,,,,,,,,,,,PMC7016966
autophagy,bioprocess,,,go,GO:0006914,,,STAT3,protein,,,uniprot,P40763,,,positive,,,,,,,,,,,PMC7016966
immune_response,bioprocess,,,go,GO:0006955,,,STAT3,protein,,,uniprot,P40763,,,negative,,,,,,,,,,,PMC7016966
AML,protein,,,uniprot,Q6PF39,,,STAT3,protein,,,uniprot,P40763,,,negative,,,,,,,,,,,PMC7016966
STAT5,family,,,be,STAT5,,,FLT3ITD,protein,,,uaz,UAZ05211,,,positive,,,,,,,,,,,PMC7016966
cell_survival,bioprocess,,,mesh,D002470,,,STAT5,family,,,be,STAT5,,,positive,,,,,,,,,,,PMC7016966
STAT5,family,,,be,STAT5,,,ROS,simple-chemical,,,chebi,CHEBI:26523,,,positive,,,,,,,,,,,PMC7016966
cell_growth,bioprocess,,,go,GO:0016049,,,STAT5,family,,,be,STAT5,,,negative,,,,,,,,,,,PMC7016966
STAT5B,protein,,,uniprot,P51692,,,acid,simple-chemical,,,pubchem,444212,,,positive,,,,,,,,,,,PMC7016966
cell_growth,bioprocess,,,go,GO:0016049,,,STAT3,protein,,,uniprot,P40763,,,positive,,,,,,,,,,,PMC7016966
apoptosis,bioprocess,,,go,GO:0006915,,,STAT3,protein,,,uniprot,P40763,,,negative,,,,,,,,,,,PMC7016966
STAT3,protein,,,uniprot,P40763,,,IL6,protein,,,uniprot,P05231,,,positive,,,,,,,,,,,PMC7016966
JAK,protein,,,uaz,UA-BP-GGP-00072,,,IL6,protein,,,uniprot,P05231,,,positive,,,,,,,,,,,PMC7016966
proliferation,bioprocess,,,go,GO:0008283,,,STAT5,family,,,be,STAT5,,,positive,,,,,,,,,,,PMC7016966
differentiation,bioprocess,,,go,GO:0030154,,,STAT5,family,,,be,STAT5,,,positive,,,,,,,,,,,PMC7016966
proliferation,bioprocess,,,go,GO:0008283,,,STAT3,protein,,,uniprot,P40763,,,positive,,,,,,,,,,,PMC7016966
differentiation,bioprocess,,,go,GO:0030154,,,STAT3,protein,,,uniprot,P40763,,,positive,,,,,,,,,,,PMC7016966
STAT5,family,,,be,STAT5,,,transcription,bioprocess,,,go,GO:0006351,,,positive,,,,,,,,,,,PMC7016966
transcription,bioprocess,,,go,GO:0006351,,,BCL2,family,,,uniprot,P10415,,,positive,,,,,,,,,,,PMC7016966
transcription,bioprocess,,,go,GO:0006351,,,cell_cycle,bioprocess,,,go,GO:0007049,,,positive,,,,,,,,,,,PMC7016966
STAT5,family,,,be,STAT5,,,transcription,bioprocess,,,go,GO:0006351,,,negative,,,,,,,,,,,PMC7016966
STAT3,protein,,,uaz,UAZ05192,,,TKOs,protein,,,uaz,UAZ05271,,,positive,,,,,,,,,,,PMC7016966
STAT3,protein,,,uniprot,P40763,,,JAK2,protein,,,uniprot,O60674,,,positive,,,,,,,,,,,PMC7016966
STAT5,family,,,be,STAT5,,,JAK2,protein,,,uniprot,O60674,,,positive,,,,,,,,,,,PMC7016966
STAT3,protein,,,uniprot,P40763,,,JAK2,protein,,,uniprot,O60674,,,positive,,,,,,,,,,,PMC7016966
STAT5,family,,,be,STAT5,,,Gab2,protein,,,uniprot,Q9UQC2,,,positive,,,,,,,,,,,PMC7016966
cell_growth,bioprocess,,,go,GO:0016049,,,NOX,protein,,,uniprot,Q9Y5S8,,,positive,,,,,,,,,,,PMC7016966
cell_growth,bioprocess,,,go,GO:0016049,,,NADPHoxidase,protein,,,be,NADPH_oxidase,,,positive,,,,,,,,,,,PMC7016966
cell_growth,bioprocess,,,go,GO:0016049,,,NADPHoxidase,protein,,,be,NADPH_oxidase,,,positive,,,,,,,,,,,PMC7016966
cell_growth,bioprocess,,,go,GO:0016049,,,NOX,protein,,,uniprot,Q9Y5S8,,,positive,,,,,,,,,,,PMC7016966
ROS,simple-chemical,,,chebi,CHEBI:26523,,,NADPHoxidase,protein,,,be,NADPH_oxidase,,,positive,,,,,,,,,,,PMC7016966
ROS,simple-chemical,,,chebi,CHEBI:26523,,,NOX,protein,,,uniprot,Q9Y5S8,,,positive,,,,,,,,,,,PMC7016966
JAK2,protein,,,uniprot,O60674,,,PYSTAT5,protein,,,uaz,UAZ05204,,,positive,,,,,,,,,,,PMC7016966
ROS,simple-chemical,,,chebi,CHEBI:26523,,,PYSTAT5,protein,,,uaz,UAZ05204,,,positive,,,,,,,,,,,PMC7016966
BCRABL,protein,,,uaz,UAZ03599,,,PYSTAT5,protein,,,uaz,UAZ05204,,,positive,,,,,,,,,,,PMC7016966
KRas,protein,,,uniprot,P01116,,,PS,simple-chemical,,,pubchem,7408258,,,positive,,,,,,,,,,,PMC7016966
apoptosis,bioprocess,,,go,GO:0006915,,,uSTAT5,protein,,,uniprot,P42229,,,negative,,,,,,,,,,,PMC7016966
ROS,simple-chemical,,,chebi,CHEBI:26523,,,uSTAT5,protein,,,uniprot,P42229,,,negative,,,,,,,,,,,PMC7016966
KIT,protein,,,uniprot,P10721,,,crenolanib,protein,,,uaz,UAZ05248,,,negative,,,,,,,,,,,PMC7016966
KIT,protein,,,uniprot,P10721,,,Midostaurin,simple-chemical,,,pubchem,9829523,,,negative,,,,,,,,,,,PMC7016966
KIT,protein,,,uniprot,P10721,,,tandutinib,simple-chemical,,,pubchem,3038522,,,negative,,,,,,,,,,,PMC7016966
KIT,protein,,,uniprot,P10721,,,DCC2618,protein,,,uaz,UAZ05286,,,negative,,,,,,,,,,,PMC7016966
JAK2,protein,,,uniprot,O60674,,,pacritinib,simple-chemical,,,pubchem,46216796,,,negative,,,,,,,,,,,PMC7016966
HL,protein,,,uniprot,P11150,,,Fedratinib,protein,,,uaz,UAZ05225,,,negative,,,,,,,,,,,PMC7016966
STAT3,protein,,,uniprot,P40763,,,Curcumin,simple-chemical,,,pubchem,969516,,,negative,,,,,,,,,,,PMC7016966
STAT3,protein,,,uniprot,P40763,,,STAT5,family,,,be,STAT5,,,negative,,,,,,,,,,,PMC7016966
MM,simple-chemical,,,pubchem,6993082,,,FLLL32,protein,,,uaz,UAZ05279,,,negative,,,,,,,,,,,PMC7016966
STAT3,protein,,,uniprot,P40763,,,EC804,protein,,,uaz,UAZ05310,,,negative,,,,,,,,,,,PMC7016966
STAT3,protein,,,uniprot,P40763,,,STAT5,family,,,be,STAT5,,,negative,,,,,,,,,,,PMC7016966
STAT3,protein,,,uniprot,P40763,,,indirubin,protein,,,uaz,UAZ05296,,,negative,,,,,,,,,,,PMC7016966
STAT5,family,,,be,STAT5,,,transcription,bioprocess,,,go,GO:0006351,,,positive,,,,,,,,,,,PMC7016966
STAT5,family,,,be,STAT5,,,pimozide,simple-chemical,,,pubchem,16362,,,negative,,,,,,,,,,,PMC7016966
PYSTAT3,protein,,,uaz,UAZ05185,,,Pyrimethamine,simple-chemical,,,pubchem,4993,,,negative,,,,,,,,,,,PMC7016966
MPN,protein,,,uniprot,Q9BQR3,,,Pimozide,simple-chemical,,,pubchem,16362,,,negative,,,,,,,,,,,PMC7016966
PYSTAT3,protein,,,uaz,UAZ05185,,,Pimozide,simple-chemical,,,pubchem,16362,,,negative,,,,,,,,,,,PMC7016966
STAT5A,protein,,,uniprot,P42229,,,PPAR,protein,,,uniprot,Q07869,,,positive,,,,,,,,,,,PMC7016966
STAT5B,protein,,,uniprot,P51692,,,PPAR,protein,,,uniprot,Q07869,,,positive,,,,,,,,,,,PMC7016966
apoptosis,bioprocess,,,go,GO:0006915,,,PPAR,protein,,,uniprot,Q07869,,,positive,,,,,,,,,,,PMC7016966
STAT3,protein,,,uniprot,P40763,,,PPAR,protein,,,uniprot,Q07869,,,negative,,,,,,,,,,,PMC7016966
PYSTAT5,protein,,,uaz,UAZ05204,,,AC4130,site,,,uaz,UAZ05235,,,negative,,,,,,,,,,,PMC7016966
pCAF_inhibitor,simple-chemical,,,uaz,UAZ05187,,,AC4130,site,,,uaz,UAZ05235,,,negative,,,,,,,,,,,PMC7016966
ruxolitinib,simple-chemical,,,pubchem,25126798,,,AC4130,site,,,uaz,UAZ05235,,,negative,,,,,,,,,,,PMC7016966
JAK,simple-chemical,,,uaz,UAZ03900,,,AC4130,site,,,uaz,UAZ05235,,,negative,,,,,,,,,,,PMC7016966
p300,protein,,,uniprot,Q09472,,,AC4130,site,,,uaz,UAZ05235,,,positive,,,,,,,,,,,PMC7016966
Ph,protein,,,uniprot,P01298,,,IST5002,protein,,,uaz,UAZ05194,,,negative,,,,,,,,,,,PMC7016966
STA21,protein,,,uaz,UAZ04640,,,apoptosis,bioprocess,,,go,GO:0006915,,,positive,,,,,,,,,,,PMC7016966
apoptosis,bioprocess,,,go,GO:0006915,,,STAT3,protein,,,uniprot,P40763,,,positive,,,,,,,,,,,PMC7016966
apoptosis,bioprocess,,,go,GO:0006915,,,C1889,protein,,,uaz,UAZ05278,,,positive,,,,,,,,,,,PMC7016966
STAT3,protein,,,uniprot,P40763,,,STATTIC,simple-chemical,,,pubchem,2779853,,,negative,,,,,,,,,,,PMC7016966
PYSTAT3,protein,,,uaz,UAZ05185,,,OPB31121,protein,,,uaz,UAZ05196,,,negative,,,,,,,,,,,PMC7016966
PYSTAT5,protein,,,uaz,UAZ05204,,,OPB31121,protein,,,uaz,UAZ05196,,,negative,,,,,,,,,,,PMC7016966
STAT3,protein,,,uniprot,P40763,,,SD36,protein,,,uaz,UAZ05186,,,negative,,,,,,,,,,,PMC7016966
STAT3,protein,,,uniprot,P40763,,,SD36,protein,,,uaz,UAZ05186,,,negative,,,,,,,,,,,PMC7016966
apoptosis,bioprocess,,,go,GO:0006915,,,SD36,protein,,,uaz,UAZ05186,,,positive,,,,,,,,,,,PMC7016966
STAT3,protein,,,uniprot,P40763,,,transcription,bioprocess,,,go,GO:0006351,,,positive,,,,,,,,,,,PMC7016966
IL6,protein,,,uniprot,P05231,,,GQODN,protein,,,uaz,UAZ05197,,,negative,,,,,,,,,,,PMC7016966
antigen,protein,,,uaz,UA-BP-GGP-00007,,,CpGSTAT3_siRNA_conjugate,protein,,,uaz,UAZ05241,,,negative,,,,,,,,,,,PMC7016966
CD8,family,,,be,CD8,,,CpGSTAT3_siRNA_conjugate,protein,,,uaz,UAZ05241,,,negative,,,,,,,,,,,PMC7016966
immunity,bioprocess,,,go,GO:0006955,,,CpGSTAT3_siRNA_conjugate,protein,,,uaz,UAZ05241,,,negative,,,,,,,,,,,PMC7016966
angiogenesis,bioprocess,,,go,GO:0001525,,,STAT5,family,,,be,STAT5,,,positive,,,,,,,,,,,PMC7016966
